steps,heart_rate_avg,max_heart,min_heart,raw_intensity_avg,hour,rate
15,78.55,121,63,35.45,19,0
0,76.1,93,59,23.8667,20,0
3,71.49,110,60,21.2373,21,1
54,81.57,112,63,40.9608,7,0
449,84.11,98,70,53.0526,8,0
0,94.11,129,45,3.37879,19,2
59,89.92,120,60,11.4103,20,0
1624,91.34,125,65,48.0862,21,0
1011,95.19,115,78,92.5238,7,0
1509,89.66,125,72,45.5593,8,0
245,84.63,101,69,31.4333,9,0
199,84,109,64,32.25,10,0
296,76.02,109,63,31.5345,11,0
84,77.9,114,65,31.5763,12,1
307,77.48,109,57,32.2759,13,0
214,76.52,98,61,32.2167,14,0
224,75.46,115,61,29.3158,15,0
1287,80.69,115,62,55.5345,16,0
1450,80.77,117,49,46.9833,17,0
99,75.07,105,60,27.2143,18,0
0,79.13,90,65,25.7667,19,0
1684,82.78,112,59,50.2,20,0
4287,93.76,113,60,84.2881,21,0
32,83.52,110,71,46.4194,10,0
277,82,107,55,58.069,11,0
469,83.74,103,64,63.5217,12,0
589,86.87,109,70,74.0545,13,0
336,81.09,109,65,54.8491,14,0
236,96.43,130,63,92.4151,15,0
511,91.39,123,59,70.4737,16,0
614,84.55,108,66,59.6,17,0
277,87.5,114,65,62.1034,18,0
286,82.81,103,64,52.7222,19,0
913,88.04,118,71,73.9825,20,0
83,70.49,93,63,24.9153,21,0
250,85.44,99,63,39.2778,10,0
99,79.19,107,66,29.4828,11,0
261,76.56,106,59,35.9492,12,0
407,87.45,127,63,65.3273,13,0
307,87.11,118,64,84.4906,14,0
80,84.68,114,61,46.6842,15,0
289,84.42,126,64,58.3898,16,0
114,73.93,104,61,29.1607,17,0
2038,92.91,134,72,63.7368,18,0
3175,97.46,121,69,83.0678,19,0
20,79.15,102,65,42.1356,20,0
21,65.38,93,60,7.53448,21,0
17,67.21,87,54,26.8654,11,0
6,78.95,112,63,43.0345,12,1
16,78.05,103,62,23.8333,13,1
1064,86.53,120,68,67.3448,14,0
50,77.41,93,65,38.1356,15,0
490,78.3,97,65,45.2632,16,0
1114,87,119,63,57.6379,17,0
1029,80.29,113,60,42.4483,18,0
4123,94.86,121,65,95.2034,19,0
187,86.55,108,69,57.1091,20,0
112,80.14,95,68,43.6842,21,0
17,77.69,92,68,38.4375,8,2
1474,89.66,125,64,74.5714,9,0
1025,86.07,123,61,44.2281,10,0
192,79.65,99,66,33.4667,11,0
582,77.37,117,59,34.8667,12,0
94,74.57,96,56,26.2069,13,0
218,76.72,117,59,29.5,14,0
0,70.65,93,59,24.3333,15,0
726,78.02,110,61,40.7833,16,0
1764,85.78,118,65,64.3729,17,0
7,71.22,102,62,22.35,18,0
43,72.8,107,60,26.6949,19,0
544,76.47,109,59,39.4667,20,0
1755,84.07,117,63,54.3051,21,0
74,68.24,90,58,24.3571,7,0
807,81.16,124,61,48.807,8,0
387,80.69,108,60,43.7636,9,0
